Company	Role	Location	Link
Squarepoint Capital	Intern Software Developer	Montreal, QC, CanadaLondon, UK	https://boards.greenhouse.io/embed/job_app?token=7231006&utm_source=Simplify&ref=Simplify
Varian	Software Developer Co-op	Winnipeg, MB, Canada	https://onehealthineers.wd3.myworkdayjobs.com/SHSJB/job/YWG-BW/Software-Developer-Co-op_R-23789?utm_source=Simplify&ref=Simplify
Epic Games	Ecommerce Programmer Intern	Vancouver, BC, Canada	https://epicgames.com/careers/jobs/5641341004?gh_jid=5641341004&utm_source=Simplify&ref=Simplify
🔥 Stripe	Software Engineer – Intern	Toronto, ON, Canada	https://stripe.com/jobs/search?gh_jid=7206389&utm_source=Simplify&ref=Simplify
🔥 Roblox	Software Engineer Intern	Vancouver, BC, Canada	https://careers.roblox.com/jobs/7206219?gh_jid=7206219&utm_source=Simplify&ref=Simplify
Lumentum	Process Software Automation Co-op/Intern	Ottawa, ON, Canada	https://lumentum.wd5.myworkdayjobs.com/lite/job/Canada---Ottawa-Bill-Leathem/Process-Software-Automation-Co-op-Intern_20251390?utm_source=Simplify&ref=Simplify
Autodesk	Intern – Software Developer	Toronto, ON, Canada	🔒
Mercury	Full-stack Engineering Intern	5 locationsSan Francisco, CANew York, NYPortland, ORRemote in USRemote in Canada	🔒
↳	Backend Engineering Intern	5 locationsSan Francisco, CANew York, NYPortland, ORRemote in USRemote in Canada	🔒
↳	Frontend Engineering Intern	5 locationsSan Francisco, CANew York, NYPortland, ORRemote in USRemote in Canada	🔒
Hexagon AB	Software Test Engineering Intern - Software Test Engineering	Calgary, AB, Canada	🔒
CIBC	Information Security Coordinator Co-Op	Toronto, ON, Canada	🔒
Intact	IT Architect 1 Internship/Co-op - Enterprise Architecture	Montreal, QC, Canada	🔒
↳	IT Intern - 16-month Internship/Coop - Summer 2026	Toronto, ON, Canada	🔒
Autodesk	Intern - Data Security - Data Security	Toronto, ON, Canada	🔒
Kinaxis	Co-op/Intern Software Developer - Core Algorithms - Industry Teams	Ottawa, ON, Canada	🔒
CAE	Junior Software Developer Intern	Ottawa, ON, Canada	🔒
Hitachi	Network Design Specialist Intern - Data Communications	Toronto, ON, Canada	🔒
Kinaxis	Co-op/Intern Developer - Clients - Front End Technologies	Ottawa, ON, Canada	🔒
CIBC	IT Project Coordinator Co-op - Technology, Infrastructure, and Innovation	Toronto, ON, Canada	🔒
CIBC	Application/Software Developer Co-op - Multiple Teams	Toronto, ON, Canada	🔒
CIBC	Software/Application Developer Co-op	Toronto, ON, Canada	🔒
↳	Offensive Security Intern - Offensive Security	Toronto, ON, Canada	🔒
Kinaxis	Co-op/Intern Associate Software Developer	Ottawa, ON, Canada	🔒
CIBC	Application/Software Developer Co-op	Toronto, ON, Canada	🔒
CIBC	Technical Systems Analyst Co-op	Toronto, ON, Canada	🔒
CIBC	Application/Software Developer Co-op - Enterprise Technology & Business Management	Toronto, ON, Canada	🔒
Kinaxis	Intern Developer - Clients - Front End Technologies	Ottawa, ON, Canada	🔒
Kinaxis	Co-op/Intern Developer - Back End Technologies	Ottawa, ON, Canada	🔒
Hewlett Packard (HP)	Associate C++ Software Developer	Vancouver, BC, Canada	🔒
↳	Associate C++ Software Developer	Vancouver, BC, Canada	🔒
Hexagon AB	Software Engineering Intern - Software Infrastructure Team	Calgary, AB, Canada	🔒
Hitachi	Software Analyst – Intern	Toronto, ON, Canada	🔒
↳	Software Analyst – Intern	Toronto, ON, Canada	🔒
Autodesk	Intern – Threat Intelligence	Toronto, ON, Canada	🔒
Varian	Product Engineering Assistant	Canada	🔒
Autodesk	Intern – Software Developer	Remote in Canada	🔒
↳	Security Engineer Intern	British Columbia, Canada	🔒
Manulife Financial	Summer Intern/Co-op - Software Engineering	Kitchener, ON, Canada	🔒
Arc'teryx Equipment	Software Engineer Co-op Student	Vancouver, BC, Canada	🔒
Hitachi	Software Analyst – Intern - Product Team	Toronto, ON, Canada	🔒
Block	Software Engineer Intern	Toronto, ON, Canada	🔒
RSM	Cyber ServiceNow Developer Associate - ServiceNow Development	Calgary, AB, Canada	🔒
↳	Cyber Servicenow Developer Intern	Calgary, AB, Canada	🔒
TC Energy	Computer Science Interns	Calgary, AB, Canada	🔒
Lumentum	Calibration and Test Software Engineer Co-op/Intern	Ottawa, ON, Canada	🔒
Roche	Pharma Technical Analyst Internship	Mississauga, ON, Canada	🔒
Entrust	Intern – Pki Pqc	Ottawa, ON, Canada	🔒
🔥 Google	Software Developer Intern, MS 🎓	Waterloo, ONMontreal, QCToronto, ON	🔒
↳	Software Developer Intern, BS	Waterloo, ONMontreal, QCToronto, ON	🔒
L3Harris Technologies	Operations Test Engineering – Software Co-op	Hamilton, ON, Canada	🔒
L3Harris Technologies	Full Stack Developer Co-op	Hamilton, ON, Canada	🔒
Magna	IT Co-op Student	Newmarket, ON, Canada	🔒
Ontario Teachers' Pension Plan	Intern – Application Support	Toronto, ON, Canada	🔒
Ontario Teachers' Pension Plan	Intern – End-User Technology	Toronto, ON, Canada	🔒
ABB	Intern – IT Programming and Projects	Pointe-Claire, QC, Canada	🔒
Tower Research Capital	Stagiaire en développement de logiciels – / Software Developer Intern	Montreal, QC, Canada	🔒
🔥 Databricks	Software Engineering Intern - Multiple Teams	4 locationsSFBellevue, WAMountain View, CAVancouver, BC, Canada	🔒
Perseus Group	Front End Intern	Markham, ON, CanadaRemote in Canada	🔒
Intuit	Mobile Software Developer Co-op	Toronto, ON, Canada	🔒
↳	2026 Confluent Software Engineering Intern Opportunity	Toronto, ON, Canada	🔒
Jonas Software	Jonas Summer Internship - Various Departments	Remote in USARemote in Canada	🔒
↳	Software Engineer – Intern	Toronto, ON, Canada	🔒
DotDash Meredith	Software Developer Intern	Alberta, Canada	🔒
Konrad Group	Software Developer Intern	Toronto, ON, Canada	🔒
Blackrock	2026 Summer Intern	16 locationsAtlanta, GABoston, MAChicago, ILMexico City, MXMiami, FLMontreal, QCNew York, NYNewport Beach, CAPrinceton, NJSan Francisco, CASanta Monica, CASausalito, CASeattle, WAToronto, CanadaWashington, DCWilmington, DE	🔒
Lumentum	Transport Product Line Management Intern/Co-op - Product Line Management	Ottawa, ON, Canada	https://lumentum.wd5.myworkdayjobs.com/LITE/job/Canada---Ottawa-Bill-Leathem/Transport-PLM-Co-op-Intern_20251412?utm_source=Simplify&ref=Simplify
Autodesk	Intern, Ecommerce Machine Learning 🎓	5 locationsRemote in CASan Francisco, CARemote in MARemote in NYToronto, ON, CAN	https://autodesk.wd1.myworkdayjobs.com/en-US/Ext/job/California-USA---Remote/Intern--Ecommerce-Machine-Learning_25WD92181?utm_source=Simplify&ref=Simplify
6d	Qualcomm	FY26 Intern – Machine Learning AISW Internship - Canada - 4 Months - Interim Engineering Intern - SW - 33070 AI SW CAN	Markham, ON, Canada
Qualcomm	FY26 Intern – Machine Learning AISW Internship - Canada - 4 Months - Interim Engineering Intern - SW - 33070 AI SW CAN	Markham, ON, Canada	https://qualcomm.eightfold.ai/careers/job/446715167466?utm_source=Simplify&ref=Simplify
Autodesk	PhD Intern - Research - Embodied AI Agents 🎓	Toronto, ON, Canada	https://autodesk.wd1.myworkdayjobs.com/en-US/uni/job/Toronto-ON-CAN/PhD-Intern--Research---Embodied-AI-Agents_25WD92247?utm_source=Simplify&ref=Simplify
Autodesk	Doctor of Philosophy Intern - Autodesk Research - Model Alignment 🎓	Toronto, ON, CanadaVancouver, BC, Canada	https://autodesk.wd1.myworkdayjobs.com/Ext/job/Toronto-ON-CAN/PhD-Intern--Research---Model-Alignment_25WD92256-1?utm_source=Simplify&ref=Simplify
Nestle	IT Data Engineering Intern	North York, ON, Canada	https://jobdetails.nestle.com/job/North-York-IT-Data-Engineering-Intern-ON/1259688401/?ats=successfactors&utm_source=Simplify&ref=Simplify
ShyftLabs	Data Science Intern	Toronto, ON, Canada	https://jobs.lever.co/shyftlabs/2ee759e9-d131-485a-8cc1-a099e760f061/apply?utm_source=Simplify&ref=Simplify
Autodesk	PhD Intern - AI Research Scientist - Test Time Adaptation 🎓	Vancouver, BC, Canada	https://autodesk.wd1.myworkdayjobs.com/Ext/job/Vancouver-BC-CAN/PhD-Intern--AI-Research-Scientist---Test-Time-Adaptation_25WD92253-2?utm_source=Simplify&ref=Simplify
Autodesk	Intern – Machine Learning Operations Engineer - Machine Learning Operations - GET-ML Team	Montreal, QC, Canada	https://autodesk.wd1.myworkdayjobs.com/Ext/job/Ontario-CAN---Remote/Intern--Machine-Learning-Operations-Engineer_25WD92313-2?utm_source=Simplify&ref=Simplify
Seaspan	Intern - Digital Ship Analytics - Innovation Team	Vancouver, BC, Canada	https://hckz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs/job/8010?utm_source=Simplify&ref=Simplify
Electronic Arts	Research Scientist Intern - SEED - Machine Learning 🎓	Montreal, QC, Canada	https://jobs.ea.com/en_US/careers/JobDetail/Research-Scientist-Intern/210871?utm_source=Simplify&ref=Simplify
Electronic Arts	UGX Analyst Intern - Analytics	Vancouver, BC, Canada	https://jobs.ea.com/en_US/careers/JobDetail/UGX-Analyst-Intern/210858?utm_source=Simplify&ref=Simplify
↳	Research Scientist Intern - SEED - Machine Learning 🎓	Montreal, QC, Canada	https://jobs.ea.com/en_US/careers/JobDetail/Research-Scientist-Intern/210934?utm_source=Simplify&ref=Simplify
Qualcomm	Intern - Deep Learning Research - AI Research	Markham, ON, Canada	https://qualcomm.eightfold.ai/careers/job/446714977804?utm_source=Simplify&ref=Simplify
↳	Intern - Deep Learning Research - AI Research	Markham, ON, Canada	https://qualcomm.eightfold.ai/careers/job/446714978266?utm_source=Simplify&ref=Simplify
IKO	Data Engineer Intern/Co-op - Data Engineering	Mississauga, ON, Canada	https://iko.wd3.myworkdayjobs.com/iko_careers/job/Mississauga-ON/Data-Engineer-Co-Op_REQ-11723?utm_source=Simplify&ref=Simplify
Electronic Arts	Data Analyst Intern/Co-op - FC Live Service Analytics	Vancouver, BC, Canada	https://jobs.ea.com/en_US/careers/JobDetail/Data-Analyst-Co-op-FC-Live/210870?utm_source=Simplify&ref=Simplify
IKO	BI Developer Co-Op	Mississauga, ON, Canada	https://iko.wd3.myworkdayjobs.com/iko_careers/job/Mississauga-ON/BI-Developer-Co-Op_REQ-11719?utm_source=Simplify&ref=Simplify
Hexagon AB	Positioning Services Intern - Multiple Teams	Calgary, AB, Canada	https://careers-hexagonpositioning.icims.com/jobs/2857/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify
🔥 Stripe	Data Analyst – Intern - Multiple Teams 🎓	Toronto, ON, Canada	https://stripe.com/jobs/search?gh_jid=7285986&utm_source=Simplify&ref=Simplify
Electronic Arts	AI Engineer Intern - AI Platform 🎓	Vancouver, BC, Canada	https://jobs.ea.com/en_US/careers/JobDetail/AI-Engineer-intern/210851?utm_source=Simplify&ref=Simplify
↳	Research Scientist Intern PhD 8 Months 🎓	Vancouver, BC, Canada	https://jobs.ea.com/en_US/careers/JobDetail/Research-Scientist-Intern-PhD-8-Months/210831?utm_source=Simplify&ref=Simplify
Bank of Montreal	Junior Analyst Intern/Co-op - Data Analytics & Reporting	Toronto, ON, Canada	https://bmo.wd3.myworkdayjobs.com/External/job/Toronto-ON-CAN/Junior-Analyst--GAM--Summer-2026--Co-op-Internship----4-months_R250024986?utm_source=Simplify&ref=Simplify
🔥 Stripe	PhD Data Scientist Intern - Data Science 🎓	Toronto, ON, Canada	https://stripe.com/jobs/search?gh_jid=7285974&utm_source=Simplify&ref=Simplify
Qualcomm	Intern - Deep Learning Research - Embodied AI 🎓	Markham, ON, Canada	https://qualcomm.eightfold.ai/careers/job/446714881824?utm_source=Simplify&ref=Simplify
Qualcomm	Intern - And Sensors Subsystem Engineering Internship - Low-Power AI - Audio	Markham, ON, Canada	https://qualcomm.eightfold.ai/careers/job/446714867461?utm_source=Simplify&ref=Simplify
🔥 Lyft	Business Systems Engineer Intern - People Technology	Toronto, ON, Canada	https://app.careerpuck.com/job-board/lyft/job/8168725002?gh_jid=8168725002&utm_source=Simplify&ref=Simplify
↳	Machine Learning Intern - Multiple Teams 🎓	Toronto, ON, Canada	https://www.pinterestcareers.com/job-form?gh_jid=7268767&utm_source=Simplify&ref=Simplify
🔥 Pinterest	Master's Machine Learning Internship 🎓	Toronto, Canada	https://www.pinterestcareers.com/jobs/7268767/masters-machine-learning-internship-summer-term-2026-toronto/?gh_jid=7268767&utm_source=Simplify&ref=Simplify
🔥 Lyft	Software Engineer Intern - Machine Learning	Toronto, ON, Canada	https://app.careerpuck.com/job-board/lyft/job/8168699002?gh_jid=8168699002&utm_source=Simplify&ref=Simplify
Occidental Petroleum	Process Systems Engineering Intern/Co-op - Automation & Data Integration	Squamish, BC, Canada	https://oxy.wd5.myworkdayjobs.com/Corporate/job/Squamish/Process-Systems-Engineering--Automation---Data-Integration---Co-op_JR105200?utm_source=Simplify&ref=Simplify
Electronic Arts	AI Ad Operations Intern - Data & Insights	Vancouver, BC, Canada	https://jobs.ea.com/en_US/careers/JobDetail/AI-Ad-Operations-Intern/210898?utm_source=Simplify&ref=Simplify
Occidental Petroleum	Process Systems Engineer - AI and Machine Learning Co-op - Process Systems Engineering	Squamish, BC, Canada	https://oxy.wd5.myworkdayjobs.com/Corporate/job/Squamish/Process-Systems-Engineering---AI-and-Machine-Learning-Co-op_JR105219?utm_source=Simplify&ref=Simplify
🔥 Adobe	2026 Intern - Research Scientist/Engineer 🎓	7 locationsCambridge, MASeattle, WAToronto, ON, CanadaSFSan Jose, CAHyattsville, MDNYC	https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/XMLNAME-2026-Intern---Research-Scientist-Engineer_R160317?utm_source=Simplify&ref=Simplify
Tenstorrent	Machine Learning Engineer Intern - Pey	Toronto, ON, Canada	https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/4873832007?utm_source=Simplify&ref=Simplify
Arcadis	Product Analyst Intern	Toronto, ON, Canada	https://ebcs.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs/job/33691?utm_source=Simplify&ref=Simplify
Kinaxis	Co-op Developer - AI/ML - GenAI	Ottawa, ON, Canada	https://careers-kinaxis.icims.com/jobs/33691/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify
CIBC	Capital Markets – Client Data Analyst	Toronto, ON, Canada	https://cibc.wd3.myworkdayjobs.com/campus/job/Toronto-ON/Capital-Markets--Client-Data-Analyst-Winter-2026-Co-Op--8-Months-_2521123?utm_source=Simplify&ref=Simplify
Citco	Computer Systems Developer Intern - Middle Office	Halifax Regional Municipality, NS, Canada	https://fa-euxc-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs/job/7823?utm_source=Simplify&ref=Simplify
🔥 Atlassian	Data Engineer Intern	British Columbia, Canada	https://campus-globalcareers-atlassian.icims.com/jobs/21022/data-engineer-intern%2c-2026-summer-canada/job?utm_source=Simplify&ref=Simplify
↳	Data Science Intern 🎓	British Columbia, Canada	https://globalcareers-atlassian.icims.com/jobs/21021/data-science-intern%2c-2026-summer-canada/job?utm_source=Simplify&ref=Simplify
Intelcom | Dragonfly	Data Engineering Intern	Montreal, QC, Canada	https://intelcomgroup.wd3.myworkdayjobs.com/Intelcom/job/Canada-Quebec-Montreal/Data-Engineering-Intern_JR109165?utm_source=Simplify&ref=Simplify
↳	Data Science Intern - Algorithms 🎓	Toronto, ON, Canada	https://app.careerpuck.com/job-board/lyft/job/8134383002?gh_jid=8134383002&utm_source=Simplify&ref=Simplify
↳	Data Science Intern - Decisions-Product	Toronto, ON, Canada	https://app.careerpuck.com/job-board/lyft/job/8149419002?gh_jid=8149419002&utm_source=Simplify&ref=Simplify
Qualcomm	FY26 Intern – Low Power AI Software Development Internship - Interim Engineering Intern - SW	Markham, ON, Canada	https://qualcomm.eightfold.ai/careers/job/446714433212?utm_source=Simplify&ref=Simplify
Cresta	Machine Learning Engineering Intern	Toronto, ON, Canada	https://job-boards.greenhouse.io/cresta/jobs/4123863008?utm_source=Simplify&ref=Simplify
Skyworks	Quality Systems – Data Analyst Co-Op 🎓	Ottawa, ON, Canada	https://careers.skyworksinc.com/job/Ottawa-Quality-Systems-Data-Analyst-Co-Op-ON/1322663500/?ats=successfactors&utm_source=Simplify&ref=Simplify
Qualcomm	FY26 Intern – Compute DSP/AI Processor Engineering Internship - Months	Markham, ON, Canada	https://qualcomm.eightfold.ai/careers/job/446714394725?utm_source=Simplify&ref=Simplify
Standard Aero	Data Analytics Summer Intern - Supply Chain	Alberton, PE, Canada	🔒
The Boeing Company	Data Engineering Intern	Richmond, BC, Canada	🔒
↳	Data Science Business Operations Intern - Data Science and Analytics	Richmond, BC, Canada	🔒
The Boeing Company	Data Science Intern	Richmond, BC, Canada	🔒
🔥 Meta	Research Scientist Intern - Multiple Teams 🎓	Montreal, QC, Canada	🔒
Autodesk	Intern – AI/ML - AI/ML Platform - MLOps	Toronto, ON, Canada	🔒
Qualcomm	Intern - And Sensors Subsystem Engineering - Low-Power AI - Audio	Markham, ON, Canada	🔒
Kinaxis	Co-op/Intern Developer - AI/ML	Ottawa, ON, Canada	🔒
Harris Computer	Software Development and AI Intern - Co-op - R&D - AI	Remote in Canada	🔒
CIBC	AI Scientist Co-op - Artificial Intelligence - Multiple Teams	Toronto, ON, Canada	🔒
Autodesk	Intern – Platform Data Analyst	Toronto, ON, Canada	🔒
CIBC	Data Scientist Intern/Co-op - Technology Operations	Toronto, ON, Canada	🔒
CIBC	Data Scientist Co-op	Toronto, ON, Canada	🔒
↳	AI Scientist Co-op	Toronto, ON, Canada	🔒
CIBC	AI Governance Co-op	Toronto, ON, Canada	🔒
Johnson & Johnson	AI & Digital Innovation Associate	Markham, ON, Canada	🔒
British Columbia Investment	Analytics Engineer – Co-op/Internship - Enterprise	Vancouver, BC, Canada	🔒
↳	Data Analyst / Engineer Co-op/Internship	Victoria, BC, CanadaVancouver, BC, Canada	🔒
Hexagon AB	Applications Engineering Intern - Core Customer Support - Autonomy & Positioning	Calgary, AB, Canada	🔒
Roche	2025 Intern - Algorithm Research and Development - Csmls	Mississauga, ON, Canada	🔒
Manulife Financial	Summer Intern/Co-op - Data Science 🎓	Toronto, ON, Canada	🔒
Roche	2025 Intern - Algorithm Research and Development	Mississauga, ON, Canada	🔒
Tenstorrent	ML Application & Benchmarking Intern - Pey	Toronto, ON, Canada	🔒
Autodesk	ML Intern – Stagiaire ML	Montreal, QC, Canada	🔒
Hexagon AB	Autonomy Research Intern - Applied Research	Calgary, AB, Canada	🔒
Tenstorrent	Low-Level Software Developer Intern/PEY	Toronto, ON, Canada	🔒
AECOM	Asset Management Intern	Burnaby, BC, Canada	🔒
Manulife Financial	Summer Intern/Co-op - Data Science 🎓	Kitchener, ON, Canada	🔒
↳	Summer Intern/Co-op - Data Science - Masters 🎓	Toronto, ON, Canada	🔒
Intact	Data Analyst	Montreal, QC, CanadaToronto, ON, CanadaLongueuil, QC, Canada	🔒
↳	Data Automation Co-op	Mississauga, ON, Canada	🔒
Sun Life	Financial Data Analyst Co-op - SLC Management	Toronto, ON, CanadaKitchener, ON, Canada	🔒
Intelcom | Dragonfly	GHG Data Analyst Intern	Montreal, QC, Canada	🔒
↳	Data Analyst Intern	Montreal, QC, Canada	🔒
↳	Data Analyst Intern - Returns	Montreal, QC, Canada	🔒
↳	AI Data Analyst Intern	Montreal, QC, Canada	🔒
Qualcomm	FY26 Intern – AI Processor Solutions Machine learning Intern - Months - Interim Engineering Intern - Systems 🎓	Markham, ON, Canada	🔒
GeoComply	ML Data Scientist Intern	Toronto, ON, CanadaVancouver, BC, Canada	🔒
Airbus	Stagiaire en cybersécurité / Cyber-security Intern	Laval, QC, Canada	🔒
Nokia	Optical Systems Co-op/Intern	Ottawa, ON, Canada	🔒
L3Harris Technologies	Specialty Engineering Coop	Hamilton, ON, Canada	🔒
Johnson & Johnson	Digital Transformation Co-op - Healthcare Distribution - Sdc	Markham, ON, Canada	🔒
Ontario Teachers' Pension Plan	Intern – Enterprise Architecture and Emerging Technologies	Toronto, ON, CAN	🔒
↳	Intern – Product & Data Engineering	Toronto, ON, CAN	🔒
↳	Product Data Management Intern	Pointe-Claire, QC, Canada	🔒
Xylem	Data Engineer Intern	Mississauga, ON, Canada	🔒
Sun Life	Digital Analytics Intern	Toronto, ON, Canada	🔒
Alliaxis	Manufacturing Excellence Co-op Student	Oakville, ON, Canada	🔒
-	1mo	Royal Bank of Canada	Quantitative Technology Services 🎓
Ontario Teachers' Pension Plan	Intern – Capital Markets - Quantitative Strategies and Research - Cmia	Toronto, ON, Canada	https://otppb.wd3.myworkdayjobs.com/OntarioTeachers_Careers/job/Toronto-Canada/Intern---Capital-Markets--Quantitative-Strategies-and-Research--CMIA--January-2026---8-Month-Contract-_6552?utm_source=Simplify&ref=Simplify
-	1mo	Royal Bank of Canada	Global Markets Quantitative Trading
Manulife Financial	Business Operations Intern/Co-op - Quantitative Analyst	Toronto, ON, Canada	🔒
Mackenzie Investments	Fixed Income Software Developer Platform Intern - Investment Management	Greater Toronto Area, ON, Canada	🔒
Intelcom | Dragonfly	Risk Management – Resilience & Compliance Intern	Montreal, QC, Canada	🔒
🔒	1mo	Royal Bank of Canada	Manager – Business Markets Intern
Royal Bank of Canada	Manager – Business Markets Intern	7 locationsLangley, BC, CanadaSurrey, BC, CanadaPort Coquitlam, BC, CanadaBurnaby, BC, CanadaAbbotsford, BC, CanadaVancouver, BC, CanadaRichmond, BC, Canada	🔒
🔒	2mo	Royal Bank of Canada	2026 Capital Markets – Global Markets Quantitative Trading Summer Analyst
Mackenzie Investments	Fixed Income Software Developer Platform Intern - Investment Management	Toronto, ON, Canada	🔒
Ontario Teachers' Pension Plan	Intern – Investments - Total Fund Management - Global Trading	Toronto, ON, Canada	🔒
General Motors	Co-Op - Software Developer - Virtualization and SIL Integration	Markham, ON, CanadaOshawa, ON, Canada	https://generalmotors.wd5.myworkdayjobs.com/Careers_GM/job/Markham-Ontario-Canada/XMLNAME-2026-Co-Op---Software-Developer---Virtualization-and-SIL-Integration_JR-202519570?utm_source=Simplify&ref=Simplify
NXP Semiconductors	IC Design Verification Engineer Intern - Hardware Design - Verification	Kanata, Ottawa, ON, Canada	https://nxp.wd3.myworkdayjobs.com/en-US/careers/job/Kanata/IC-Design-Verification-Engineer--Intern_R-10060038-1?utm_source=Simplify&ref=Simplify
RTX	Junior Software Engineer Co-Op - Multiple Teams	Ottawa, ON, Canada	https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/104-30-Edgewater-Drive-Ottawa-Ontario-K2L-1V8-Canada/Junior-Software-Engineer-Co-Op--Hybrid-_01796200?utm_source=Simplify&ref=Simplify
